id,category,question,ground_truth,answer,faithfulness,answer_relevance,context_precision,context_recall,answer_question_similarity,expected_source_recall,refused,sources,cited_sources,strategy,model,diagnosis,notes
1,multi-document,How many annual leave days are allowed?,Employees receive 20 paid annual leave days per calendar year.,Employees are entitled to 20 paid annual leave days per calendar year【2†L1-L4】【3†L2-L4】.,1.0,1.0,1.0,1.0,0.7208,1.0,False,faq.json | employee_handbook.docx | leave_policy.txt,,manual_rrf,openai/gpt-oss-120b,ok,relevant chunks by rank: RRRRR; 1/1 claims supported; relevance rating 5/5: The answer directly provides the number of annual leave days (20) with citations
2,multi-document,How long is the probation period and can it be extended?,The probation period is 3 months. It can be extended once by up to 3 additional months; it cannot be extended more than once.,Probation lasts 3 months and may be extended once for up to an additional 3 months if the probation review recommends it [1][2][3].,1.0,1.0,1.0,1.0,0.8714,1.0,False,faq.json | employee_handbook.docx | company_policy.pdf | leave_policy.txt,faq.json | employee_handbook.docx | company_policy.pdf,manual_rrf,openai/gpt-oss-120b,ok,relevant chunks by rank: RRRRR; 2/2 claims supported; relevance rating 5/5: The answer directly states the length of the probation period (3 months) and exp
3,multi-document,How many days per week can confirmed employees work remotely?,Confirmed employees may work remotely up to 3 days per week with written approval from their line manager. Employees on probation work from the office full-time.,Confirmed employees can work remotely up to 3 days per week. [1][2][3][5],1.0,1.0,1.0,1.0,0.8947,1.0,False,faq.json | notes.md | company_policy.pdf | website_content.html,faq.json | notes.md | company_policy.pdf | website_content.html,manual_rrf,openai/gpt-oss-120b,ok,relevant chunks by rank: RRRR.; 1/1 claims supported; relevance rating 5/5: The answer directly and correctly states the number of days per week confirmed e
4,multi-document,"Within how many days must an expense claim be submitted, and when are receipts required?","Expense claims must be submitted within 30 days of the expense being incurred. Receipts are mandatory for every expense above PKR 2,000, or USD 10 for expenses incurred abroad.","Expense claims must be submitted within 30 days of the expense, and receipts are required for any expense above PKR 2,000 (or USD 10 for expenses incurred abroad)【1†L1-L3】【2†L2-L4】",1.0,1.0,1.0,1.0,0.776,1.0,False,faq.json | company_policy.pdf | employee_handbook.docx | leave_policy.txt,,manual_rrf,openai/gpt-oss-120b,ok,relevant chunks by rank: RR...; 2/2 claims supported; relevance rating 5/5: The answer directly provides the required timeframe (30 days) and the receipt th
5,single-document,"In which cities does Aurora Dynamics have offices, and which one is the headquarters?","Aurora Dynamics has offices in Lahore, Karachi and Dubai. The Lahore office is the headquarters.","Aurora Dynamics has offices in Lahore, Karachi, and Dubai, with its headquarters located in Lahore[1].",1.0,1.0,0.95,0.875,0.8347,1.0,False,employee_handbook.docx | website_content.html | company_policy.pdf | leave_policy.txt,employee_handbook.docx,manual_rrf,openai/gpt-oss-120b,ok,relevant chunks by rank: RRR.R; 2/2 claims supported; relevance rating 5/5: The answer directly lists the cities with offices and identifies the headquarter
6,structured-data,Who is the manager of Fatima Noor and what is her role?,"Fatima Noor is a Senior Data Engineer in the Data Engineering department, based in Karachi, and her manager is Hira Siddiqui.","Fatima Noor’s manager is Hira Siddiqui, and her role is Senior Data Engineer[2].",1.0,1.0,1.0,0.9167,0.7713,1.0,False,hr_data.csv,hr_data.csv,manual_rrf,openai/gpt-oss-120b,ok,relevant chunks by rank: RR...; 2/2 claims supported; relevance rating 5/5: The answer directly provides both requested pieces of information: the manager's
7,single-document,On which day of the month is salary paid?,"Payroll is processed on the 25th of every month. If the 25th falls on a weekend or public holiday, salary is paid on the preceding working day.","Salary is paid on the 25th of each month, and if the 25th falls on a weekend or public holiday it is paid on the preceding working day [1].",1.0,1.0,1.0,1.0,0.7871,1.0,False,faq.json | employee_handbook.docx | leave_policy.txt,faq.json,manual_rrf,openai/gpt-oss-120b,ok,relevant chunks by rank: R....; 2/2 claims supported; relevance rating 5/5: The answer directly states the specific day (the 25th) and adds the relevant con
8,multi-document,What is the annual learning budget and who is eligible for it?,"Every confirmed employee has a learning budget of USD 1,000 per year for courses, certifications and conferences. It is not available during probation.","The annual learning budget is USD 1,000 per confirmed employee, and it is available only to employees who have completed their probationary period [1][4].",1.0,1.0,1.0,1.0,0.8144,1.0,False,faq.json | notes.md | employee_handbook.docx | company_policy.pdf,faq.json | notes.md,manual_rrf,openai/gpt-oss-120b,ok,relevant chunks by rank: R....; 2/2 claims supported; relevance rating 5/5: The answer directly states the amount of the annual learning budget and clearly 
9,multi-document,"How many unused annual leave days can be carried over to the next year, and by when must they be used?","A maximum of 5 unused annual leave days can be carried over into the next calendar year, and they must be used by 31 March.","Five unused annual leave days can be carried over to the next calendar year, and they must be used by 31 March of that following year [1][3].",1.0,1.0,1.0,1.0,0.9006,1.0,False,faq.json | leave_policy.txt | employee_handbook.docx,faq.json | leave_policy.txt,manual_rrf,openai/gpt-oss-120b,ok,relevant chunks by rank: RRRRR; 2/2 claims supported; relevance rating 5/5: The answer directly provides the number of days (five) and the deadline (31 Marc
10,multi-document,Does the company health insurance cover dental treatment?,"No. Dental and optical treatment are not covered. The plan covers inpatient care in full and outpatient care up to PKR 50,000 per year for the employee, spouse and up to 2 children.","No, the company’s health insurance does not cover dental treatment. The plan explicitly excludes dental (and optical) care, covering only inpatient care in full and outpatient care up to PKR 50,000 per year for the employee, spouse, and up to two children[1][3].",1.0,1.0,0.8333,1.0,0.7886,1.0,False,faq.json | employee_handbook.docx | notes.md | company_policy.pdf,faq.json | employee_handbook.docx,manual_rrf,openai/gpt-oss-120b,ok,relevant chunks by rank: R.R..; 5/5 claims supported; relevance rating 5/5: The answer directly addresses the question by stating that dental treatment is n
11,aggregate,How many employees work in the Data Engineering department?,"Four employees work in the Data Engineering department: Hira Siddiqui, Fatima Noor, Usman Tariq and Laiba Shah.",4 employees work in the Data Engineering department [2].,1.0,1.0,0.5,0.4286,0.8036,1.0,False,hr_data.csv | website_content.html | employee_handbook.docx,hr_data.csv,manual_rrf,openai/gpt-oss-120b,retrieval issue (needed context not retrieved),relevant chunks by rank: .R.R.; 1/1 claims supported; relevance rating 5/5: The answer directly provides the exact number of employees (4) for the Data Engi
12,out-of-scope,What is Aurora Dynamics' current stock price?,The documents do not contain any information about a stock price. The system should say it does not have enough information to answer.,"I don't have enough information in the provided documents to answer that. The passages describe Aurora Dynamics' founding, locations, size, and policies, but do not mention any stock price or related financial market data.",1.0,1.0,,,0.7793,,True,employee_handbook.docx | website_content.html | leave_policy.txt,,manual_rrf,openai/gpt-oss-120b,ok,"out-of-scope question: retrieval metrics n/a; refusal expected; refusal -> no claims to verify; relevance rating 5/5: The answer correctly states that the required information is not available, whic"
