id,category,question,ground_truth,answer,faithfulness,answer_relevance,context_precision,context_recall,diagnosis,ragas_errors,judge_provider,judge_model,strategy,model
1,multi-document,How many annual leave days are allowed?,Employees receive 20 paid annual leave days per calendar year.,Employees are entitled to 20 paid annual leave days per calendar year【2†L1-L4】【3†L2-L4】.,1.0,0.8128,0.5833,1.0,ok,,groq,openai/gpt-oss-120b,manual_rrf,openai/gpt-oss-120b
2,multi-document,How long is the probation period and can it be extended?,The probation period is 3 months. It can be extended once by up to 3 additional months; it cannot be extended more than once.,Probation lasts 3 months and may be extended once for up to an additional 3 months if the probation review recommends it [1][2][3].,1.0,0.8074,1.0,1.0,ok,,groq,openai/gpt-oss-120b,manual_rrf,openai/gpt-oss-120b
3,multi-document,How many days per week can confirmed employees work remotely?,Confirmed employees may work remotely up to 3 days per week with written approval from their line manager. Employees on probation work from the office full-time.,Confirmed employees can work remotely up to 3 days per week. [1][2][3][5],1.0,0.9326,0.95,1.0,ok,,groq,openai/gpt-oss-120b,manual_rrf,openai/gpt-oss-120b
4,multi-document,"Within how many days must an expense claim be submitted, and when are receipts required?","Expense claims must be submitted within 30 days of the expense being incurred. Receipts are mandatory for every expense above PKR 2,000, or USD 10 for expenses incurred abroad.","Expense claims must be submitted within 30 days of the expense, and receipts are required for any expense above PKR 2,000 (or USD 10 for expenses incurred abroad)【1†L1-L3】【2†L2-L4】",1.0,0.9119,1.0,1.0,ok,,groq,openai/gpt-oss-120b,manual_rrf,openai/gpt-oss-120b
5,single-document,"In which cities does Aurora Dynamics have offices, and which one is the headquarters?","Aurora Dynamics has offices in Lahore, Karachi and Dubai. The Lahore office is the headquarters.","Aurora Dynamics has offices in Lahore, Karachi, and Dubai, with its headquarters located in Lahore[1].",1.0,0.9536,0.7,1.0,ok,,groq,openai/gpt-oss-120b,manual_rrf,openai/gpt-oss-120b
6,structured-data,Who is the manager of Fatima Noor and what is her role?,"Fatima Noor is a Senior Data Engineer in the Data Engineering department, based in Karachi, and her manager is Hira Siddiqui.","Fatima Noor’s manager is Hira Siddiqui, and her role is Senior Data Engineer[2].",0.5,0.9563,0.5,1.0,generation issue (answer not supported by context),,groq,openai/gpt-oss-120b,manual_rrf,openai/gpt-oss-120b
7,single-document,On which day of the month is salary paid?,"Payroll is processed on the 25th of every month. If the 25th falls on a weekend or public holiday, salary is paid on the preceding working day.","Salary is paid on the 25th of each month, and if the 25th falls on a weekend or public holiday it is paid on the preceding working day [1].",1.0,0.8766,1.0,1.0,ok,,groq,openai/gpt-oss-120b,manual_rrf,openai/gpt-oss-120b
8,multi-document,What is the annual learning budget and who is eligible for it?,"Every confirmed employee has a learning budget of USD 1,000 per year for courses, certifications and conferences. It is not available during probation.","The annual learning budget is USD 1,000 per confirmed employee, and it is available only to employees who have completed their probationary period [1][4].",1.0,0.9059,0.75,1.0,ok,,groq,openai/gpt-oss-120b,manual_rrf,openai/gpt-oss-120b
9,multi-document,"How many unused annual leave days can be carried over to the next year, and by when must they be used?","A maximum of 5 unused annual leave days can be carried over into the next calendar year, and they must be used by 31 March.","Five unused annual leave days can be carried over to the next calendar year, and they must be used by 31 March of that following year [1][3].",1.0,0.9518,0.8333,1.0,ok,,groq,openai/gpt-oss-120b,manual_rrf,openai/gpt-oss-120b
10,multi-document,Does the company health insurance cover dental treatment?,"No. Dental and optical treatment are not covered. The plan covers inpatient care in full and outpatient care up to PKR 50,000 per year for the employee, spouse and up to 2 children.","No, the company’s health insurance does not cover dental treatment. The plan explicitly excludes dental (and optical) care, covering only inpatient care in full and outpatient care up to PKR 50,000 per year for the employee, spouse, and up to two children[1][3].",0.75,0.9953,1.0,1.0,ok,,groq,openai/gpt-oss-120b,manual_rrf,openai/gpt-oss-120b
11,aggregate,How many employees work in the Data Engineering department?,"Four employees work in the Data Engineering department: Hira Siddiqui, Fatima Noor, Usman Tariq and Laiba Shah.",4 employees work in the Data Engineering department [2].,1.0,1.0,0.5,1.0,ok,,groq,openai/gpt-oss-120b,manual_rrf,openai/gpt-oss-120b
12,out-of-scope,What is Aurora Dynamics' current stock price?,The documents do not contain any information about a stock price. The system should say it does not have enough information to answer.,"I don't have enough information in the provided documents to answer that. The passages describe Aurora Dynamics' founding, locations, size, and policies, but do not mention any stock price or related financial market data.",0.8571,0.0,,,generation issue (answer off-topic),,groq,openai/gpt-oss-120b,manual_rrf,openai/gpt-oss-120b
